username,revid,revtime,pagetitle,isReverted,revertTime,cluebotRevert,stiki_score,stiki_REP_USER
Swiftscw,535365129,2013-01-28T16:43:56Z,User:Swiftscw,FALSE,-,0,0,0
Swiftscw,535365309,2013-01-28T16:45:08Z,User:Swiftscw,FALSE,-,0,0,0
Swiftscw,535366071,2013-01-28T16:50:17Z,User:Swiftscw,FALSE,-,0,0,0
Swiftscw,535369287,2013-01-28T17:13:40Z,User:Swiftscw/AMAPOLA CABASE,FALSE,-,0,0,0
Swiftscw,535370277,2013-01-28T17:21:30Z,Wikipedia:Requests for undeletion,FALSE,-,0,0,0
Swiftscw,535376382,2013-01-28T18:07:16Z,Maria Cabase,FALSE,-,0,0.292556491,0
Swiftscw,535379254,2013-01-28T18:27:12Z,Maria Cabase,FALSE,-,0,0.282316476,0
Swiftscw,535380411,2013-01-28T18:34:51Z,Maria Cabase,FALSE,-,0,0.367025223,0
Swiftscw,535382439,2013-01-28T18:48:17Z,Maria Cabase,FALSE,-,0,0.282316476,0
Swiftscw,535390355,2013-01-28T19:40:51Z,Maria Cabase,FALSE,-,0,0.132503778,0
Swiftscw,535391129,2013-01-28T19:46:13Z,Maria Cabase,FALSE,-,0,0.082944217,0
Swiftscw,535392458,2013-01-28T19:54:07Z,Talk:Maria Cabase,FALSE,-,0,0,0
Swiftscw,535392907,2013-01-28T19:56:33Z,User:Swiftscw,FALSE,-,0,0,0
Swiftscw,535394750,2013-01-28T20:08:56Z,Manuel Kabajar Cabase,FALSE,-,0,0.219086117,0
Swiftscw,535394845,2013-01-28T20:09:36Z,Manuel Kabajar Cabase,FALSE,-,0,0.082944217,0
Swiftscw,535402422,2013-01-28T21:00:26Z,User talk:Postdlf/Archive23,FALSE,-,0,0,0
Swiftscw,535532398,2013-01-29T16:09:31Z,Talk:Maria Cabase,FALSE,-,0,0,0
Swiftscw,564933523,2013-07-19T15:02:39Z,Wikipedia:WikiProject Biography/Members,FALSE,-,0,0,0
Swiftscw,564941049,2013-07-19T16:07:49Z,User talk:Swiftscw,FALSE,-,0,0,0
Swiftscw,566043642,2013-07-27T17:28:34Z,Maria Cabase,FALSE,-,0,0.106120096,0
Swiftscw,566046267,2013-07-27T17:54:43Z,Maria Cabase,FALSE,-,0,0.060143151,0
Swiftscw,569196167,2013-08-19T09:30:58Z,Bobby Enriquez,FALSE,-,0,0.178726424,0
Swiftscw,569196361,2013-08-19T09:33:02Z,Bobby Enriquez,FALSE,-,0,0.058359578,0
Swiftscw,569196611,2013-08-19T09:35:15Z,Bobby Enriquez,FALSE,-,0,0.03689807,0
,,,,,,,,
Azkle,535802859,2013-01-31T03:28:13Z,User:Azkle,FALSE,-,0,0,0
Azkle,535906972,2013-01-31T19:50:17Z,Wikipedia:Training/For students/Training feedback,FALSE,-,0,0,0
Azkle,536604313,2013-02-04T23:37:02Z,Netflix,FALSE,-,0,0.118156978,0
Azkle,536612442,2013-02-05T00:42:14Z,Alan Turing,FALSE,-,0,0.082944217,0
Azkle,536613048,2013-02-05T00:47:04Z,Alan Turing,FALSE,-,0,0.082944217,0
Azkle,536615351,2013-02-05T01:04:34Z,Amazon.com,FALSE,-,0,0.293385046,0
